PDF,Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 14C //IMEI:866572072685382-NOVO - -,"1.148,48",R$ 1148.48,"1,00 un SMARTPHONE XIAOMI REDMI 14C //IMEI:866572072685382-NOVO - - 21875/2024 8GB/256GB///R$ 1.148,48"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 14C //IMEI:867957073559588-NOVO- -,"956,33",R$ 956.33,"1,00 un SMARTPHONE XIAOMI REDMI 14C //IMEI:867957073559588-NOVO- - 21875/2024 4GB/128GB///R$ 956,33"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 14C //IMEI:867957073549282-NOVO - -,"956,33",R$ 956.33,"1,00 un SMARTPHONE XIAOMI REDMI 14C //IMEI:867957073549282-NOVO - - 21875/2024 4GB/128GB///R$ 956,33"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 14C //IMEI:867957073580683-NOVO - -,"956,33",R$ 956.33,"1,00 un SMARTPHONE XIAOMI REDMI 14C //IMEI:867957073580683-NOVO - - 21875/2024 4GB/128GB///R$ 956,33"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 PRO //IMEI:866567074111023-,"1.516,71",R$ 1516.71,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO //IMEI:866567074111023- NOVO -21875/2024 8GB/256GB///R$ 1.516,71"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 PRO //IMEI:860688071353883-,"1.516,71",R$ 1516.71,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO //IMEI:860688071353883- NOVO -21875/2024 8GB/256GB///R$ 1.516,71"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 PRO //IMEI:860688076436964-,"1.516,71",R$ 1516.71,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO //IMEI:860688076436964- NOVO -21875/2024 8GB/256GB///R$ 1.516,71"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776079956826-,"1.190,74",R$ 1190.74,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776079956826- NOVO -21875/2024 8GB/256GB///R$ 1.190,74"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 5G //IMEI:865063079006849-,"1.869,99",R$ 1869.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 5G //IMEI:865063079006849- NOVO -21875/2024 8GB/256GB///R$ 1.869,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 5G //IMEI:860698078080462-,"1.869,99",R$ 1869.99,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 5G //IMEI:860698078080462- NOVO -21875/2024 8GB/256GB///R$ 1.869,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3 //IMEI:865723070247714-NOVO -,"851,74",R$ 851.74,"1,00 un SMARTPHONE XIAOMI REDMI A3 //IMEI:865723070247714-NOVO - 21875/2024 3GB/64GB///R$ 851,74"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3 //IMEI:865723071000005-NOVO -,"851,74",R$ 851.74,"1,00 un SMARTPHONE XIAOMI REDMI A3 //IMEI:865723071000005-NOVO - 21875/2024 3GB/64GB///R$ 851,74"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3 //IMEI:869857072977302-NOVO -,"851,74",R$ 851.74,"1,00 un SMARTPHONE XIAOMI REDMI A3 //IMEI:869857072977302-NOVO - 21875/2024 3GB/64GB///R$ 851,74"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3 //IMEI:865723071011580-NOVO,"851,74",R$ 851.74,"1,00 un SMARTPHONE XIAOMI REDMI A3 //IMEI:865723071011580-NOVO R$ 851,74"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13 //IMEI:867585071383568- -NOVO -,"1.274,99",R$ 1274.99,"1,00 un SMARTPHONE XIAOMI REDMI 13 //IMEI:867585071383568- -NOVO - 21875/2024 8GB/256GB///R$ 1.274,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C //IMEI:865390076775542-NOVO -,"1.433,52",R$ 1433.52,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:865390076775542-NOVO - 21685/2024 (8GB RAM /256GB ROM)///R$ 1.433,52"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C //IMEI:865390076775948-NOVO -,"1.433,52",R$ 1433.52,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:865390076775948-NOVO - 21685/2024 (8GB RAM/ 256GB ROM)///R$ 1.433,52"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C //IMEI:862776076062324-NOVO -,"1.433,52",R$ 1433.52,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862776076062324-NOVO - 21685/2024 (8GB RAM/ 256GB ROM)///R$ 1.433,52"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C //IMEI:865390076772523-NOVO -,"1.433,52",R$ 1433.52,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:865390076772523-NOVO - 21685/2024 (8GB RAM/ 256GB ROM)///R$ 1.433,52"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C //IMEI:862776076065962-NOVO -,"1.433,52",R$ 1433.52,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862776076065962-NOVO - 21685/2024 (8GB RAM/ 256GB ROM)///R$ 1.433,52"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C //IMEI:862776076064361-NOVO -,"1.433,52",R$ 1433.52,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:862776076064361-NOVO - 21685/2024 (8GB RAM/ 256GB ROM)///R$ 1.433,52"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C //IMEI:865390076716421-NOVO -,"1.433,52",R$ 1433.52,"1,00 un SMARTPHONE XIAOMI REDMI 13C //IMEI:865390076716421-NOVO - 21685/2024 (8GB RAM/ 256GB ROM)///R$ 1.433,52"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13 //IMEI:862109070609124-NOVO -,"1.082,99",R$ 1082.99,"1,00 un SMARTPHONE XIAOMI REDMI 13 //IMEI:862109070609124-NOVO - 21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.082,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13 //IMEI:862109073694123-NOVO -,"1.082,99",R$ 1082.99,"1,00 un SMARTPHONE XIAOMI REDMI 13 //IMEI:862109073694123-NOVO - 21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.082,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13 //IMEI:862109073669208-NOVO -,"1.082,99",R$ 1082.99,"1,00 un SMARTPHONE XIAOMI REDMI 13 //IMEI:862109073669208-NOVO - 21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.082,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13 //IMEI:867585074148448-NOVO -,"1.082,99",R$ 1082.99,"1,00 un SMARTPHONE XIAOMI REDMI 13 //IMEI:867585074148448-NOVO - 21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.082,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13 //IMEI:862109073295020-NOVO -,"1.082,99",R$ 1082.99,"1,00 un SMARTPHONE XIAOMI REDMI 13 //IMEI:862109073295020-NOVO - 21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.082,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13 //IMEI:862109073667889-NOVO -,"1.082,99",R$ 1082.99,"1,00 un SMARTPHONE XIAOMI REDMI 13 //IMEI:862109073667889-NOVO - 21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.082,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13 //IMEI:862109070604307-NOVO -,"1.082,99",R$ 1082.99,"1,00 un SMARTPHONE XIAOMI REDMI 13 //IMEI:862109070604307-NOVO - 21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.082,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13 //IMEI:862109074105483-NOVO -,"1.082,99",R$ 1082.99,"1,00 un SMARTPHONE XIAOMI REDMI 13 //IMEI:862109074105483-NOVO - 21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.082,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13 //IMEI:862109070606740-NOVO -,"1.082,99",R$ 1082.99,"1,00 un SMARTPHONE XIAOMI REDMI 13 //IMEI:862109070606740-NOVO - 21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.082,99"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A2 //IMEI:867754063921468-NOVO -,"650,07",R$ 650.07,"1,00 un SMARTPHONE XIAOMI REDMI A2 //IMEI:867754063921468-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 650,07"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A2 //IMEI:867754064661667-NOVO -,"650,07",R$ 650.07,"1,00 un SMARTPHONE XIAOMI REDMI A2 //IMEI:867754064661667-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 650,07"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A2 //IMEI:867754063906048-NOVO -,"650,07",R$ 650.07,"1,00 un SMARTPHONE XIAOMI REDMI A2 //IMEI:867754063906048-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 650,07"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A2 //IMEI:867754065162806-NOVO -,"650,07",R$ 650.07,"1,00 un SMARTPHONE XIAOMI REDMI A2 //IMEI:867754065162806-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 650,07"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A2 //IMEI:867754065691226-NOVO -,"650,07",R$ 650.07,"1,00 un SMARTPHONE XIAOMI REDMI A2 //IMEI:867754065691226-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 650,07"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A2 //IMEI:867754064666203-NOVO -,"650,07",R$ 650.07,"1,00 un SMARTPHONE XIAOMI REDMI A2 //IMEI:867754064666203-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 650,07"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A2 //IMEI:867754063907467-NOVO -,"650,07",R$ 650.07,"1,00 un SMARTPHONE XIAOMI REDMI A2 //IMEI:867754063907467-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 650,07"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A2 //IMEI:867754064652369-NOVO -,"650,07",R$ 650.07,"1,00 un SMARTPHONE XIAOMI REDMI A2 //IMEI:867754064652369-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 650,07"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:867452070899146-,"1.149,00",R$ 1149.00,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:867452070899146- NOVO -21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.149,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:862281079106426-,"1.149,00",R$ 1149.00,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:862281079106426- NOVO -21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.149,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:867452070931162-,"1.149,00",R$ 1149.00,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:867452070931162- R$ 1.149,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:862281078182840-,"1.149,00",R$ 1149.00,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:862281078182840- NOVO -21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.149,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:862281079063080-,"1.149,00",R$ 1149.00,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:862281079063080- NOVO -21685/2024 (6GB RAM/ 128GB ROM)///R$ 1.149,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 5G //IMEI:860698078185741-,"1.655,39",R$ 1655.39,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 5G //IMEI:860698078185741- NOVO -21685/2024 (8GB RAM/ 256GB ROM)///R$ 1.655,39"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G,"1.791,00",R$ 1791.00,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 PRO 5G //IMEI:861769075424109-NOVO -21685/2024 (8GB RAM/ 256GBR$ 1.791,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:862281078841981-,"1.349,00",R$ 1349.00,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:862281078841981- NOVO -21685/2024 (8GB RAM/ 256GB ROM)///R$ 1.349,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:869244077478109-,"1.669,90",R$ 1669.90,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:869244077478109- NOVO -21685/2024 (8GB RAM/ 128GB ROM)///R$ 1.669,90"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3 //IMEI:866649074174563-NOVO -,"799,00",R$ 799.00,"1,00 un SMARTPHONE XIAOMI REDMI A3 //IMEI:866649074174563-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 799,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3 //IMEI:865723072743207-NOVO -,"799,00",R$ 799.00,"1,00 un SMARTPHONE XIAOMI REDMI A3 //IMEI:865723072743207-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 799,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3 //IMEI:866091074855489-NOVO -,"799,00",R$ 799.00,"1,00 un SMARTPHONE XIAOMI REDMI A3 //IMEI:866091074855489-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 799,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3 //IMEI:865723070946505-NOVO -,"799,00",R$ 799.00,"1,00 un SMARTPHONE XIAOMI REDMI A3 //IMEI:865723070946505-NOVO - 21685/2024 (3GB RAM/ 64GB ROM)///R$ 799,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071676146-NOVO -,"999,00",R$ 999.00,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400071676146-NOVO - 21685/2024 (4GB RAM/ 128GB ROM)///R$ 999,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070325125-NOVO -,"999,00",R$ 999.00,"1,00 un SMARTPHONE XIAOMI REDMI A3X //IMEI:867400070325125-NOVO - 21685/2024 (4GB RAM/ 128GB ROM)///R$ 999,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA MOTO G34 5G //IMEI:352643336638599-,"1.239,00",R$ 1239.00,"1,00 un SMARTPHONE MOTOROLA MOTO G34 5G //IMEI:352643336638599- NOVO -21685/2024 (4+128GB)///R$ 1.239,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA MOTO G34 5G //IMEI:352643336653911-,"1.239,00",R$ 1239.00,"1,00 un SMARTPHONE MOTOROLA MOTO G34 5G //IMEI:352643336653911- NOVO -21685/2024 (4+128GB)///R$ 1.239,00"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA MOTO G14 //IMEI:351563315265530-,"965,28",R$ 965.28,"1,00 un SMARTPHONE MOTOROLA MOTO G14 //IMEI:351563315265530- NOVO -21685/2024 (8+256GB)///R$ 965,28"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA MOTO G14 //IMEI:351563315265654-,"965,28",R$ 965.28,"1,00 un SMARTPHONE MOTOROLA MOTO G14 //IMEI:351563315265654- NOVO -21685/2024 (8+256GB)///R$ 965,28"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA MOTO G14 //IMEI:351563315265738-,"965,28",R$ 965.28,"1,00 un SMARTPHONE MOTOROLA MOTO G14 //IMEI:351563315265738- NOVO -21685/2024 (8+256GB)///R$ 965,28"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA MOTO G14 //IMEI:351563315265811-,"965,28",R$ 965.28,"1,00 un SMARTPHONE MOTOROLA MOTO G14 //IMEI:351563315265811- NOVO -21685/2024 (8+256GB) NAO LACRADO///R$ 965,28"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI POCO C75 //IMEI:864624072961503-NOVO -,"1.260,25",R$ 1260.25,"1,00 un SMARTPHONE XIAOMI POCO C75 //IMEI:864624072961503-NOVO - 21685/2024 (6GB RAM 128GB ROM)///R$ 1.260,25"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI POCO C75 //IMEI:864624072271887-NOVO -,"1.260,25",R$ 1260.25,"1,00 un SMARTPHONE XIAOMI POCO C75 //IMEI:864624072271887-NOVO - 21685/2024 (6GB RAM 128GB ROM)///R$ 1.260,25"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI POCO C75 //IMEI:864624077611269-NOVO -,"1.260,25",R$ 1260.25,"1,00 un SMARTPHONE XIAOMI POCO C75 //IMEI:864624077611269-NOVO - 21685/2024 (6GB RAM 128GB ROM)///R$ 1.260,25"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI POCO C75 //IMEI:864624072271903-NOVO -,"1.260,25",R$ 1260.25,"1,00 un SMARTPHONE XIAOMI POCO C75 //IMEI:864624072271903-NOVO - 21685/2024 (6GB RAM 128GB ROM)///R$ 1.260,25"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI POCO C75 //IMEI:864624077489047-NOVO -,"1.379,99",R$ 1379.99,"1,00 un SMARTPHONE XIAOMI POCO C75 //IMEI:864624077489047-NOVO - 21685/2024 (8GB RAM 256GB ROM)///R$ 1.379,99"
